City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,81,0,6.71,RU,1712031510
82,iskateley,67.6803,53.1512,-9.43,87,100,4.92,RU,1712031296
83,utrik,11.2278,169.8474,27.2,70,100,7.29,MH,1712031474
84,kramfors,62.9316,17.7765,-2.12,74,100,5.14,SE,1712031512
85,gadzhiyevo,69.2551,33.3362,-7.62,70,100,4.36,RU,1712031484
86,kourou,5.1552,-52.6478,25.03,88,21,2.67,GF,1712031513
87,afaahiti,-17.75,-149.2833,28.93,78,42,9.09,PF,1712031514
88,georgetown,5.4112,100.3354,32.75,72,20,3.09,MY,1712031515
89,anadyr,64.75,177.4833,-18.72,77,40,3.0,RU,1712031515
90,mosfellsbaer,64.1667,-21.7,-2.27,54,0,5.66,IS,1712031516
91,adamstown,-25.066,-130.1015,24.77,79,35,11.06,PN,1712031479
92,rongelap,11.1635,166.8941,27.19,71,98,7.34,MH,1712031518
93,mossel bay,-34.1831,22.146,17.96,72,11,7.63,ZA,1712031518
94,colonia,50.9333,6.95,9.98,88,0,3.6,DE,1712031265
95,uturoa,-16.7333,-151.4333,28.16,76,89,8.92,PF,1712031519
96,i-n-salah,27.1935,2.4607,23.53,16,0,4.11,DZ,1712031521
97,tshikapa,-6.4167,20.8,21.9,90,100,1.24,CD,1712031521
98,salekhard,66.53,66.6019,-10.87,91,100,4.44,RU,1712031522
99,xinxiang,35.3089,113.8672,19.22,40,100,8.13,CN,1712031523
100,howard springs,-12.497,131.047,32.95,74,41,4.93,AU,1712031523
101,pocito,-31.6833,-68.5833,17.33,46,31,1.72,AR,1712031524
102,port macquarie,-31.4333,152.9167,28.83,59,11,6.8,AU,1712031524
103,wytheville,36.9484,-81.0848,18.52,78,100,2.22,US,1712031525
104,port alfred,-33.5906,26.891,17.73,79,91,5.57,ZA,1712031526
105,albany,42.6001,-73.9662,5.88,65,75,1.34,US,1712031257
106,newala kisimani,-10.95,39.2833,18.81,97,98,0.33,TZ,1712031527
107,arraial do cabo,-22.9661,-42.0278,19.98,100,40,0.0,BR,1712031528
108,vilyuchinsk,52.9306,158.4028,5.15,83,100,3.52,RU,1712031529
109,daru,-9.0763,143.2092,25.85,90,100,2.09,PG,1712031529
110,spanish wells,26.323,-81.7957,21.99,61,0,0.0,US,1712031530
111,tank,32.2217,70.3793,25.67,23,96,0.25,PK,1712031530
112,orapa,-21.2833,25.3667,20.09,56,85,4.93,BW,1712031531
113,mihalgazi,40.0262,30.5771,8.78,33,34,3.01,TR,1712031532
114,port saint john's,-31.6229,29.5448,21.41,87,67,3.35,ZA,1712031532
115,piacabucu,-10.4056,-36.4344,26.47,89,91,3.06,BR,1712031533
116,senador guiomard,-10.1522,-67.7392,22.86,97,100,2.04,BR,1712031534
117,sabang,5.8933,95.3214,28.81,74,23,1.05,ID,1712031435
118,carnarvon,-24.8667,113.6333,34.04,35,5,4.52,AU,1712031535
119,lihue,21.9789,-159.3672,25.58,82,100,7.72,US,1712031305
120,vadso,70.0744,29.7487,-8.51,67,20,6.69,NO,1712031536
121,queenstown,-31.8976,26.8753,14.94,82,3,2.29,ZA,1712031485
122,tolanaro,-25.0319,46.9987,22.84,83,100,6.41,MG,1712031537
123,chibougamau,49.9168,-74.3659,-11.2,94,30,1.43,CA,1712031476
124,northam,51.0333,-4.2167,7.59,97,2,3.18,GB,1712031539
125,nemuro,43.3236,145.575,2.03,72,89,6.86,JP,1712031539
126,hermanus,-34.4187,19.2345,14.89,86,96,4.33,ZA,1712031486
127,gemena,3.25,19.7667,21.77,95,89,1.18,CD,1712031540
128,bien hoa,10.95,106.8167,32.24,42,89,3.64,VN,1712031499
129,ar ruways,24.1103,52.7306,23.72,55,97,1.94,AE,1712031541
130,labrador city,52.9463,-66.9114,-14.91,98,63,1.86,CA,1712031308
131,port-vila,-17.7338,168.3219,29.78,74,75,7.2,VU,1712031543
132,fallon,39.4735,-118.7774,7.93,61,0,3.09,US,1712031361
133,maracacume,-2.0428,-45.9592,23.85,98,58,0.89,BR,1712031544
134,mao,39.8885,4.2658,11.31,87,20,1.54,ES,1712031545
135,luganville,-15.5333,167.1667,27.89,82,28,4.27,VU,1712031545
136,mount gambier,-37.8333,140.7667,16.18,62,93,5.39,AU,1712031394
137,hastings,50.8552,0.5729,10.63,86,100,11.5,GB,1712031546
138,shalqar,47.8333,59.6,8.96,60,19,1.82,KZ,1712031547
139,mazar-e sharif,36.709,67.1109,15.47,42,97,4.81,AF,1712031548
140,santo antonio,-6.3106,-35.4789,24.48,93,100,2.16,BR,1712031548
141,puttalam,8.0362,79.8283,29.9,70,88,1.67,LK,1712031549
142,fale old settlement,-9.3852,-171.2468,29.72,73,33,4.3,TK,1712031549
143,dravograd,46.5881,15.0192,9.58,96,100,1.4,SI,1712031550
144,alofi,-19.0595,-169.9187,29.94,74,75,8.23,NU,1712031474
145,tazovsky,67.4667,78.7,-13.65,95,92,1.95,RU,1712031551
146,kivertsi,50.8343,25.4582,15.08,67,100,4.67,UA,1712031553
147,codrington,-38.2667,141.9667,16.25,65,96,9.59,AU,1712031553
148,icano,-28.9193,-65.3282,17.82,81,100,1.86,AR,1712031554
149,anahuac,27.2333,-100.15,31.71,23,100,8.04,MX,1712031555
150,moose jaw,50.4001,-105.5344,2.85,73,6,3.61,CA,1712031446
151,saipan,15.1355,145.701,32.39,58,75,9.26,MP,1712031283
152,nivala,63.9167,24.9667,-4.06,90,100,3.62,FI,1712031557
153,kargasok,59.0556,80.8572,0.54,100,100,1.79,RU,1712031393
154,khodzha-maston,38.7446,68.627,5.68,55,100,2.77,TJ,1712031558
155,nephi,39.7102,-111.8363,5.16,84,48,2.7,US,1712031559
156,obo,5.3998,26.4869,22.49,75,99,1.78,CF,1712031559
157,ta`u,-14.2336,-169.5144,29.31,72,37,8.71,AS,1712031560
158,olonkinbyen,70.9221,-8.7187,-5.24,60,100,4.62,SJ,1712031561
159,stanley,54.868,-1.6985,3.73,98,20,0.0,GB,1712031301
160,choma,-16.8065,26.9531,16.2,77,94,1.23,ZM,1712031555
161,harpalpur,25.2884,79.3347,29.81,14,100,1.4,IN,1712031562
162,port douglas,-16.4833,145.4667,28.16,72,83,5.7,AU,1712031563
163,paracale,14.2804,122.7881,30.44,58,12,4.33,PH,1712031564
164,saint-pierre,-21.3393,55.4781,25.82,78,100,12.35,RE,1712031505
165,amga,60.8953,131.9608,-3.69,80,96,1.57,RU,1712031565
166,ilulissat,69.2167,-51.1,-3.99,80,100,0.0,GL,1712031565
167,kayangel,8.0823,134.7173,28.02,79,48,7.1,PW,1712031566
168,dryden,49.7833,-92.7503,-0.84,47,75,1.03,CA,1712031567
169,praia da vitoria,38.7333,-27.0667,15.98,82,20,8.23,PT,1712031567
170,afif,23.9065,42.9172,16.39,75,100,5.64,SA,1712031568
171,san patricio,28.017,-97.5169,24.05,89,92,6.77,US,1712031568
172,portstewart,55.1813,-6.714,6.56,90,100,2.86,GB,1712031569
173,dame-marie,18.5667,-74.4167,24.41,79,31,1.49,HT,1712031570
174,aplahoue,6.9333,1.6833,26.35,84,97,1.75,BJ,1712031570
175,vorgashor,67.5833,63.95,-10.17,84,100,5.42,RU,1712031571
176,darnah,32.767,22.6367,20.1,40,0,4.47,LY,1712031572
177,tukrah,32.5341,20.5791,20.21,33,0,2.23,LY,1712031572
178,pacasmayo,-7.4006,-79.5714,22.15,81,18,3.97,PE,1712031573
179,al ain city,24.1917,55.7606,21.79,35,0,2.06,AE,1712031573
180,remire-montjoly,4.9167,-52.2667,25.02,100,20,1.03,GF,1712031574
181,tenenkou,14.4572,-4.9169,31.28,13,0,2.38,ML,1712031575
182,nova sintra,14.8667,-24.7167,19.05,81,21,8.31,CV,1712031575
183,axim,4.8699,-2.2405,27.13,88,100,0.73,GH,1712031576
184,badger,64.8,-147.5333,5.14,40,0,4.12,US,1712031482
185,zhanaozen,43.3,52.8,11.6,41,1,3.08,KZ,1712031577
186,mazagao,-0.115,-51.2894,27.03,98,94,1.56,BR,1712031578
187,batang,-6.4846,110.7083,29.63,74,31,2.37,ID,1712031318
188,lorengau,-2.0226,147.2712,28.53,82,71,4.12,PG,1712031579
189,cabo san lucas,22.8909,-109.9124,20.9,69,16,1.79,MX,1712031282
190,quepos,9.4236,-84.1652,26.57,68,0,0.98,CR,1712031580
191,novobod,39.0108,70.1508,8.75,44,100,2.18,TJ,1712031581
192,iranshahr,27.2025,60.6848,22.19,43,79,0.0,IR,1712031581
193,puntarenas,9.9763,-84.8384,26.68,60,1,1.49,CR,1712031384
194,sindhnur,15.7833,76.7667,34.91,25,15,4.26,IN,1712031583
195,tofol,5.3248,163.0078,28.26,80,88,8.37,FM,1712031583
196,aykhal,66.0,111.5,-15.18,75,74,3.01,RU,1712031584
197,nogliki,51.8333,143.1667,0.19,91,100,1.34,RU,1712031584
198,christchurch,-43.5333,172.6333,16.41,60,20,4.63,NZ,1712030781
199,lazaro cardenas,17.9583,-102.2,23.11,85,100,1.26,MX,1712031348
200,grand falls-windsor,48.9332,-55.6649,0.84,92,100,1.34,CA,1712031587
201,chonchi,-42.6128,-73.8092,10.07,86,100,1.54,CL,1712031588
202,yanam,16.7333,82.2167,34.52,44,7,2.36,IN,1712031589
203,mount isa,-20.7333,139.5,31.87,43,40,3.6,AU,1712031590
204,dudinka,69.4058,86.1778,-11.85,93,100,10.28,RU,1712031472
205,fukuecho,32.6881,128.8419,18.2,77,75,5.14,JP,1712031591
206,sao jose da coroa grande,-8.8978,-35.1478,26.48,86,90,2.37,BR,1712031592
207,miyako,39.6367,141.9525,10.58,43,4,3.21,JP,1712031592
208,maricopa,33.0581,-112.0476,14.94,85,40,0.89,US,1712031593
209,at taj,24.2049,23.2857,18.83,30,1,5.14,LY,1712031594
210,prado,-17.3411,-39.2208,25.16,83,100,2.95,BR,1712031594
211,kharp,66.8014,65.8081,-13.24,95,100,2.2,RU,1712031595
212,tibanbang,6.6315,126.1055,27.91,71,64,1.96,PH,1712031596
213,revda,56.801,59.9303,2.83,88,100,4.0,RU,1712031592
214,verkhov'ye,52.8119,37.2425,9.53,91,48,3.91,RU,1712031597
215,guia lopes da laguna,-21.4578,-56.1142,22.26,98,14,1.05,BR,1712031423
216,puerto armuelles,8.2833,-82.8667,28.94,55,1,0.45,PA,1712031352
217,yaremche,48.4583,24.5519,12.34,55,87,2.57,UA,1712031599
218,klyuchi,52.2667,79.1667,4.76,73,100,4.57,RU,1712031599
219,atherton,53.5237,-2.4935,6.9,96,99,0.42,GB,1712031600
220,atafu village,-8.5421,-172.5159,29.95,71,65,4.77,TK,1712031304
221,coari,-4.085,-63.1414,23.89,98,100,0.73,BR,1712031562
222,langepas,61.2544,75.2124,0.13,100,100,2.31,RU,1712031602
223,coquimbo,-29.9533,-71.3436,17.6,71,36,3.07,CL,1712031322
224,la passe,45.5549,-0.8967,11.1,87,37,6.14,FR,1712031603
225,nagqu,31.5,92.0,5.44,12,51,9.64,CN,1712031604
226,bad zwischenahn,53.1833,8.0,8.39,91,100,6.51,DE,1712031604
227,gokwe,-18.2048,28.9349,15.95,69,91,3.0,ZW,1712031605
228,sarh,9.1429,18.3923,27.48,41,100,2.24,TD,1712031606
229,okhotsk,59.3833,143.3,-0.64,71,38,6.61,RU,1712031586
230,hawaiian paradise park,19.5933,-154.9731,21.73,95,100,1.54,US,1712031573
231,omdurman,15.6445,32.4777,24.86,16,8,4.54,SD,1712031608
232,dalnegorsk,44.5604,135.5701,8.11,44,43,4.92,RU,1712031608
233,mumford,5.2618,-0.759,27.48,86,100,2.5,GH,1712031609
234,ongjin,37.9347,125.3619,13.6,39,100,4.48,KP,1712031610
235,veraval,20.9,70.3667,28.02,45,99,4.31,IN,1712031610
236,jalai nur,49.45,117.7,1.8,50,7,8.73,CN,1712031611
237,kidal,18.4411,1.4078,29.94,17,55,5.71,ML,1712031611
238,istgah-e rah ahan-e garmsar,35.2346,52.3094,13.23,37,2,3.06,IR,1712031613
239,kristiansund,63.1115,7.732,3.03,87,75,8.23,NO,1712031613
240,taksimo,56.3444,114.8794,0.09,55,100,2.5,RU,1712031614
241,saint-louis du nord,19.9333,-72.7167,24.52,74,4,7.25,HT,1712031615
242,machachi,-0.5,-78.5667,12.09,98,100,0.8,EC,1712031615
243,cidade velha,14.9167,-23.6167,21.26,78,20,6.17,CV,1712031616
244,margaret river,-33.95,115.0667,20.92,38,0,3.71,AU,1712031616
245,wuchang,44.9143,127.15,8.83,25,60,3.09,CN,1712031617
246,enewetak,11.3474,162.3373,27.21,73,96,7.58,MH,1712031618
247,mejit,10.2753,170.8646,27.39,72,100,6.81,MH,1712031618
248,supaul,26.1167,86.6,32.49,13,13,5.5,IN,1712031619
249,maragogi,-9.0122,-35.2225,26.35,87,94,2.4,BR,1712031620
250,el calafate,-50.3408,-72.2768,7.07,84,62,1.55,AR,1712031620
251,sciacca,37.5082,13.0881,13.35,80,100,4.8,IT,1712031621
252,isola di capo rizzuto,38.96,17.0933,14.55,72,51,3.92,IT,1712031621
253,gagra,43.3283,40.2239,12.51,64,81,2.87,GE,1712031622
254,undurkhaan,47.3194,110.6556,2.7,49,88,2.53,MN,1712031623
255,baghpat,28.95,77.2167,26.04,16,91,4.24,IN,1712031623
256,tralee,52.2704,-9.7026,5.43,92,9,1.86,IE,1712031624
257,tsiombe,-25.3,45.4833,22.56,78,3,7.38,MG,1712031624
258,sirvintos,55.05,24.95,13.68,83,100,4.04,LT,1712031626
259,timmins,48.4669,-81.3331,-4.1,63,0,2.57,CA,1712031525
260,turpan,42.9333,89.1667,14.3,48,100,2.18,CN,1712031627
261,ostroleka,53.0862,21.5757,13.29,92,100,6.47,PL,1712031627
262,pekanbaru,0.5333,101.45,31.18,74,40,2.57,ID,1712031628
263,noshiro,40.2039,140.0242,10.46,54,85,7.64,JP,1712031629
264,ola,59.5833,151.2833,-1.03,61,54,5.38,RU,1712031629
265,brady,31.1352,-99.3351,18.25,45,100,4.63,US,1712031630
266,pisco,-13.7,-76.2167,22.03,78,0,1.03,PE,1712031383
267,olavarria,-36.8927,-60.3225,10.31,54,0,1.89,AR,1712031631
268,udachny,66.4167,112.4,-14.39,75,97,4.85,RU,1712031632
269,san sebastian de la gomera,28.0916,-17.1133,17.43,77,0,1.03,ES,1712031632
270,kingscliff,-28.2667,153.5667,27.65,66,2,6.69,AU,1712031160
271,puerto princesa,9.7392,118.7353,30.63,59,98,3.71,PH,1712031390
272,birjand,32.8663,59.2211,11.26,28,0,2.06,IR,1712031634
273,mandiana,10.6333,-8.6833,28.92,50,68,2.01,GN,1712031635
274,minas de marcona,-15.2119,-75.1103,17.41,83,57,3.61,PE,1712031636
275,el alto,-4.2714,-81.2147,22.04,74,100,5.4,PE,1712031637
276,borogontsy,62.6683,131.1683,-5.56,82,94,2.49,RU,1712031638
277,zhenjiang,32.2092,119.4342,17.67,92,100,1.21,CN,1712031639
278,karratha,-20.7377,116.8463,37.72,24,0,7.96,AU,1712031639
279,greymouth,-42.4667,171.2,16.21,61,70,2.15,NZ,1712031640
280,kirakira,-10.4544,161.9205,28.59,78,64,0.44,SB,1712031641
281,balabac,7.9868,117.0645,29.75,67,41,6.52,PH,1712031641
282,cururupu,-1.8283,-44.8683,24.58,96,58,1.02,BR,1712031642
283,kailua-kona,19.6406,-155.9956,25.98,82,100,4.12,US,1712031642
284,kavaratti,10.5669,72.642,28.52,73,99,3.3,IN,1712031643
285,ulsteinvik,62.3432,5.8487,4.06,83,78,6.71,NO,1712031644
286,bac lieu,9.285,105.7244,31.68,59,31,5.09,VN,1712031555
287,la'ie,21.6477,-157.9253,25.98,80,21,2.68,US,1712031646
288,chernogorsk,53.8236,91.2842,7.76,49,0,3.0,RU,1712031646
289,east london,-33.0153,27.9116,16.52,82,20,4.12,ZA,1712031647
290,minas novas,-17.2186,-42.5903,21.33,99,84,0.77,BR,1712031648
291,ghat,24.9647,10.1728,22.99,12,0,0.81,LY,1712031648
292,namsos,64.4662,11.4957,0.03,74,75,5.14,NO,1712031649
293,mount pearl,47.5166,-52.7813,0.47,96,100,3.6,CA,1712031649
294,puerto baquerizo moreno,-0.9,-89.6,24.27,82,74,2.8,EC,1712031650
295,kuqa,41.7278,82.9364,9.35,39,3,0.52,CN,1712031651
296,severnoye,56.3491,78.3619,-0.57,90,100,4.92,RU,1712031651
297,weno,7.4515,151.8468,30.97,79,75,3.6,FM,1712031652
298,truro,50.2653,-5.0544,10.42,100,75,5.66,GB,1712031652
299,sao vicente,-23.9631,-46.3919,26.1,26,90,1.0,BR,1712031440
300,caconda,-13.7333,15.0667,15.69,95,100,1.39,AO,1712031654
301,registro,-24.4875,-47.8436,21.57,95,95,0.28,BR,1712031592
302,bilibino,68.0546,166.4372,-14.67,69,49,0.57,RU,1712031475
303,recani,31.2846,-4.2688,16.18,34,0,2.03,MA,1712031656
304,cao bang,22.6667,106.25,35.38,34,5,3.93,VN,1712031656
